* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 25, 2026, 11:04:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L B = FLX-trimmed 
* Measurement: L.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.175 42.8142
15.380859 68.054 1.2017
15.747070 69.930 -29.7329
16.113281 70.093 -36.2996
16.479492 71.218 -31.2940
16.845703 72.447 -37.8346
17.211914 71.983 -52.4693
17.578125 72.072 -60.2406
17.944336 73.646 -71.1718
18.310547 73.496 -77.7256
18.676758 73.965 -75.5571
19.042969 74.363 -93.0041
19.409180 73.096 -111.3945
19.775391 75.434 -110.0222
20.141602 79.158 -125.4671
20.507812 78.683 -146.1171
20.874023 73.841 -145.3540
21.240234 73.013 -119.6718
21.606445 73.529 -129.2360
21.972656 73.031 -139.3684
22.338867 74.256 -144.5601
22.705078 75.037 -152.2297
23.071289 75.190 -155.1615
23.437500 75.912 -161.9152
23.803711 76.047 -174.1223
24.169922 75.543 178.7699
24.536133 75.314 175.8088
24.902344 74.898 169.5188
25.268555 73.759 161.5037
25.634766 72.475 158.0150
26.000977 72.369 159.8638
26.367188 72.786 155.8043
26.733398 71.627 149.7009
27.099609 70.351 154.1841
27.465820 71.196 154.7460
27.832031 71.614 150.1622
28.198242 72.187 153.3315
28.564453 73.331 149.6056
28.930664 72.602 136.1750
29.296875 69.107 124.9718
29.663086 64.276 157.3184
30.029297 71.677 -178.6067
30.395508 75.818 154.0071
30.761719 74.902 115.9998
31.127930 65.557 79.4112
31.494141 67.253 -164.6689
31.860352 72.645 162.3375
32.226562 71.979 148.9128
32.592773 72.836 156.6865
32.958984 74.122 150.3153
33.325195 74.057 146.2504
33.691406 75.093 142.0930
34.057617 75.616 130.9479
34.423828 75.377 126.5438
34.790039 76.217 124.1140
35.156250 76.871 114.9104
35.522461 76.962 107.4650
35.888672 77.347 100.3242
36.254883 77.139 89.9209
36.621094 76.060 82.6079
36.987305 75.291 79.4506
37.353516 74.899 76.1380
37.719727 74.569 75.1800
38.085938 74.276 74.4839
38.452148 73.175 73.8725
38.818359 71.859 77.9620
39.184570 71.363 79.4083
39.550781 70.796 76.1272
39.916992 70.280 74.9698
40.283203 70.055 73.5198
40.649414 69.385 71.8237
41.015625 68.767 73.5596
41.381836 68.684 74.8076
41.748047 68.377 76.2553
42.114258 68.042 82.0136
42.480469 68.155 87.6219
42.846680 68.434 89.6339
43.212891 68.740 88.6223
