* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Aug 25, 2026, 11:05:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of L.filtered, R.filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 62.077 40.4269
15.380859 68.407 0.2430
15.747070 69.474 -26.6434
16.113281 69.923 -27.8704
16.479492 71.611 -31.9079
16.845703 72.253 -41.7444
17.211914 72.326 -53.2474
17.578125 72.569 -62.4067
17.944336 73.432 -71.5575
18.310547 73.640 -80.6170
18.676758 73.488 -87.4230
19.042969 73.244 -98.2110
19.409180 73.131 -107.2172
19.775391 74.806 -112.0561
20.141602 76.752 -124.1306
20.507812 76.332 -138.3800
20.874023 73.637 -140.5656
21.240234 72.497 -130.3392
21.606445 73.120 -134.0505
21.972656 73.471 -142.9748
22.338867 74.053 -148.1961
22.705078 74.605 -152.4819
23.071289 74.932 -156.4823
23.437500 75.360 -163.3460
23.803711 75.524 -173.5453
24.169922 75.189 178.1432
24.536133 74.735 174.1638
24.902344 74.381 170.3659
25.268555 73.714 164.6703
25.634766 72.816 161.3196
26.000977 72.664 161.7669
26.367188 73.067 158.7745
26.733398 72.723 154.1729
27.099609 72.288 154.5828
27.465820 72.890 153.7589
27.832031 73.483 148.3315
28.198242 73.775 144.7910
28.564453 74.288 140.8481
28.930664 74.342 131.7183
29.296875 73.148 121.3619
29.663086 70.891 122.5959
30.029297 71.614 139.3611
30.395508 74.427 132.5824
30.761719 74.396 110.0726
31.127930 70.339 94.9179
31.494141 67.849 125.0510
31.860352 71.386 125.9571
32.226562 71.607 115.0995
32.592773 71.286 117.1712
32.958984 71.734 115.7960
33.325195 71.240 114.6017
33.691406 71.779 116.7273
34.057617 72.567 109.5067
34.423828 72.392 103.8583
34.790039 72.883 102.9707
35.156250 73.558 97.2678
35.522461 73.516 92.3143
35.888672 73.693 88.0414
36.254883 73.584 78.6195
36.621094 72.718 70.1828
36.987305 72.028 66.6545
37.353516 71.486 65.1836
37.719727 70.869 67.8714
38.085938 70.515 69.3130
38.452148 69.318 68.0914
38.818359 68.267 73.1220
39.184570 68.703 74.2113
39.550781 68.598 70.9499
39.916992 68.401 72.9685
40.283203 68.824 69.3217
40.649414 68.263 58.3407
41.015625 67.043 53.0098
41.381836 66.687 54.3086
41.748047 65.891 53.9911
42.114258 63.262 62.1315
42.480469 62.151 80.7975
42.846680 62.211 78.9433
43.212891 60.952 75.9529
43.579102 62.588 94.6732
43.945312 66.457 98.8228
