* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 25, 2026, 11:04:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R B = FRX-trimmed 
* Measurement: R.filtered
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 61.993 37.9888
15.380859 68.748 -0.6421
15.747070 69.022 -23.2133
16.113281 69.944 -19.2944
16.479492 71.988 -32.4697
16.845703 72.097 -45.8151
17.211914 72.657 -53.9673
17.578125 73.049 -64.3422
17.944336 73.214 -71.9628
18.310547 73.802 -83.4081
18.676758 73.403 -100.0956
19.042969 72.067 -104.9993
19.409180 73.211 -103.0947
19.775391 74.143 -114.4162
20.141602 73.427 -121.5443
20.507812 73.514 -124.2501
20.874023 73.492 -135.5805
21.240234 72.295 -141.9384
21.606445 72.761 -139.3114
21.972656 73.920 -146.2303
22.338867 73.884 -151.9914
22.705078 74.151 -152.7613
23.071289 74.671 -157.8844
23.437500 74.778 -164.9765
23.803711 74.970 -172.8922
24.169922 74.821 177.4622
24.536133 74.123 172.2769
24.902344 73.835 171.3232
25.268555 73.696 167.8597
25.634766 73.170 164.3698
26.000977 72.957 163.5455
26.367188 73.360 161.5547
26.733398 73.734 157.6804
27.099609 73.872 154.8486
27.465820 74.308 153.0691
27.832031 75.025 147.0955
28.198242 75.233 138.7877
28.564453 75.296 133.8736
28.930664 75.821 128.6435
29.296875 75.907 119.7129
29.663086 75.176 113.2502
30.029297 74.672 111.0493
30.395508 74.459 107.2970
30.761719 73.969 103.4704
31.127930 73.582 101.0103
31.494141 73.426 97.5017
31.860352 73.464 93.2881
32.226562 73.703 87.9514
32.592773 73.692 81.9646
32.958984 73.178 76.6215
33.325195 72.043 73.1793
33.691406 71.081 73.8880
34.057617 71.195 72.0532
34.423828 71.337 65.9708
34.790039 71.197 62.9613
35.156250 71.058 60.9802
35.522461 70.236 57.7767
35.888672 69.341 55.7158
36.254883 69.159 49.2061
36.621094 68.943 40.9556
36.987305 68.469 37.5906
37.353516 67.249 37.8951
37.719727 65.176 45.8386
38.085938 64.225 52.6534
38.452148 62.861 48.8074
38.818359 62.411 58.6224
39.184570 65.077 63.4460
39.550781 65.823 61.7453
39.916992 66.022 69.6999
40.283203 67.462 63.6590
40.649414 67.651 41.8010
41.015625 66.677 26.4888
41.381836 66.075 26.0875
41.748047 65.156 20.6962
42.114258 60.113 4.2077
42.480469 49.678 -4.8765
42.846680 53.805 -12.7811
43.212891 57.409 -50.1068
43.579102 47.881 -175.2635
43.945312 62.941 99.0742
44.311523 65.320 80.5926
44.677734 64.890 81.8240
45.043945 65.557 79.7183
45.410156 66.064 76.2410
45.776367 68.605 78.1537
46.142578 71.281 67.8936
46.508789 72.467 54.4711
46.875000 73.769 39.5307
47.241211 74.872 18.7109
47.607422 74.602 1.3034
47.973633 74.262 -6.7231
48.339844 74.897 -21.4745
48.706055 74.818 -43.4351
49.072266 74.349 -55.9672
49.438477 74.867 -63.2921
49.804688 74.824 -76.1906
50.170898 74.511 -88.2037
50.537109 75.446 -104.0406
50.903320 75.251 -120.5975
51.269531 73.796 -113.8048
51.635742 76.050 -108.8250
52.001953 76.683 -135.4766
52.368164 74.795 -171.7812
52.734375 72.959 168.7285
53.100586 73.599 163.7960
53.466797 73.418 152.4186
53.833008 71.428 146.3220
54.199219 70.555 141.2964
54.565430 69.747 129.4719
54.931641 68.555 129.2314
55.297852 68.625 131.5906
55.664062 67.480 127.3071
56.030273 66.039 128.8892
56.396484 65.922 125.9712
56.762695 65.293 125.9248
57.128906 65.778 131.6204
57.495117 65.371 125.1951
57.861328 62.399 122.3885
58.227539 60.853 130.4596
58.593750 60.251 133.5590
58.959961 60.390 153.5874
59.326172 62.308 168.2795
59.692383 63.538 -175.7457
60.058594 66.181 -169.7023
60.424805 67.540 -176.7773
60.791016 68.506 -178.5212
61.157227 70.537 179.8171
61.523438 72.055 175.7781
61.889648 73.380 174.6650
62.255859 74.953 169.9489
62.622070 76.034 161.9241
62.988281 76.936 154.1426
63.354492 77.759 144.1127
63.720703 78.028 132.6492
64.086914 77.989 123.1375
64.453125 78.029 114.9194
64.819336 77.949 107.5557
65.185547 77.787 101.6562
65.551758 77.586 95.3945
65.917969 77.232 89.0219
66.284180 76.974 83.4224
66.650391 76.748 77.2996
67.016602 76.191 71.5728
67.382812 75.420 66.9919
67.749023 74.409 62.5010
68.115234 73.211 61.4060
68.481445 72.775 64.0508
68.847656 72.849 63.4419
69.213867 72.500 61.7666
69.580078 72.202 61.3667
69.946289 72.008 58.7074
70.312500 71.517 55.8735
70.678711 71.014 54.7094
71.044922 70.413 53.4524
71.411133 69.595 53.2693
71.777344 68.865 53.7388
72.143555 68.106 55.4663
72.509766 67.751 59.6528
72.875977 67.452 61.0594
73.242188 66.378 63.7920
73.608398 65.666 70.4490
73.974609 65.391 74.2744
74.340820 65.239 80.7277
74.707031 65.857 88.0266
75.073242 66.297 96.8694
75.439453 67.825 108.4875
75.805664 69.732 108.9045
76.171875 70.492 106.0654
76.538086 71.358 107.1897
76.904297 72.737 105.2581
77.270508 73.610 101.0857
77.636719 74.278 98.4932
78.002930 75.052 94.6111
78.369141 75.637 89.3794
78.735352 76.239 84.6895
79.101562 76.997 78.9890
79.467773 77.639 71.7961
79.833984 78.127 63.6996
80.200195 78.391 54.1710
80.566406 78.245 44.0494
80.932617 77.745 34.9054
81.298828 77.041 26.8480
81.665039 76.130 20.0333
82.031250 75.157 15.2483
82.397461 74.257 11.4855
82.763672 73.263 8.3959
83.129883 72.242 7.0452
83.496094 71.376 6.6964
83.862305 70.627 6.6917
84.228516 70.006 6.5214
84.594727 69.267 6.0054
84.960938 68.541 7.8542
85.327148 68.254 9.5986
85.693359 67.668 10.0803
86.059570 66.919 15.1909
86.425781 66.844 19.4758
86.791992 66.334 19.4895
87.158203 65.964 22.4237
87.524414 66.730 20.1837
87.890625 66.921 12.6406
88.256836 66.551 11.8319
88.623047 67.042 13.2906
88.989258 67.284 7.2559
89.355469 66.491 -1.4957
89.721680 65.257 -10.7688
90.087891 63.650 -22.7417
90.454102 61.144 -38.4370
90.820312 57.042 -62.3339
91.186523 52.100 -115.8524
91.552734 55.386 178.8170
91.918945 60.602 149.9839
92.285156 63.962 130.9354
92.651367 65.898 118.6415
93.017578 67.548 110.4004
93.383789 68.941 99.7745
93.750000 69.564 87.9482
94.116211 69.610 78.6090
94.482422 69.403 72.5234
94.848633 69.266 69.3448
95.214844 69.474 64.9362
95.581055 69.306 57.7319
95.947266 68.609 54.9493
96.313477 68.545 57.4767
96.679688 68.873 56.7994
97.045898 68.679 54.2040
97.412109 68.379 52.4672
97.778320 68.319 50.1440
98.144531 68.309 47.3918
98.510742 68.089 45.6030
98.876953 67.734 45.4437
99.243164 67.388 43.9410
99.609375 66.726 40.9543
99.975586 66.149 40.9109
100.341797 66.070 40.8176
100.708008 65.435 40.3383
101.074219 64.615 44.9808
101.440430 64.318 47.5658
101.806641 63.674 49.9023
102.172852 64.021 57.4102
102.539062 64.735 59.5176
102.905273 64.255 67.4661
103.271484 65.448 80.6031
103.637695 66.804 76.4929
104.003906 66.364 67.7484
104.370117 65.863 66.5685
104.736328 66.483 65.7145
105.102539 66.690 63.2260
105.468750 66.500 65.0723
105.834961 66.590 67.5785
106.201172 66.685 68.3848
106.567383 66.909 69.4454
106.933594 67.356 70.0461
107.299805 67.761 70.0559
107.666016 68.066 69.6021
108.032227 68.247 68.4132
108.398438 68.355 67.1029
108.764648 68.448 66.1179
109.130859 68.512 65.9330
109.497070 68.589 66.6802
109.863281 68.766 67.8168
110.229492 69.079 68.3911
110.595703 69.446 67.8516
110.961914 69.787 66.6582
111.328125 70.145 64.7968
111.694336 70.400 62.0382
112.060547 70.494 59.6874
112.426758 70.563 58.0363
112.792969 70.520 56.3312
113.159180 70.298 55.5885
113.525391 70.229 56.0123
113.891602 70.416 55.7378
114.257812 70.677 54.8894
114.624023 70.952 54.2147
114.990234 71.199 53.8022
115.356445 71.484 53.2953
115.722656 71.832 51.2959
116.088867 72.061 47.8833
116.455078 72.194 44.5385
116.821289 72.281 41.0483
117.187500 72.162 37.4181
117.553711 71.895 34.5360
117.919922 71.648 31.7795
118.286133 71.316 28.9576
118.652344 70.938 27.3815
119.018555 70.642 26.4796
119.384766 70.300 25.8815
119.750977 70.019 26.4723
120.117188 69.975 26.9943
120.483398 69.943 26.6487
120.849609 69.887 26.5663
121.215820 69.934 26.0665
121.582031 69.982 24.4092
121.948242 69.956 22.2153
122.314453 69.862 19.8575
122.680664 69.645 17.3357
123.046875 69.274 14.7219
123.413086 68.740 12.3593
123.779297 68.156 11.1382
124.145508 67.636 10.7983
124.511719 67.016 11.1570
124.877930 66.291 13.3246
125.244141 65.753 16.3341
125.610352 65.316 18.5800
125.976562 65.005 22.0924
126.342773 65.169 26.2338
126.708984 65.426 28.6523
127.075195 65.419 31.5598
127.441406 65.589 35.4725
127.807617 65.981 37.3071
128.173828 66.327 37.9601
128.540039 66.732 38.5123
128.906250 67.071 38.4006
129.272461 67.304 38.7998
129.638672 67.771 38.4962
130.004883 68.205 35.2676
130.371094 68.321 31.9664
130.737305 68.444 29.9525
131.103516 68.499 26.9282
131.469727 68.167 24.0623
131.835938 67.832 22.9432
132.202148 67.670 21.1412
132.568359 67.339 19.4342
132.934570 67.049 19.8894
133.300781 66.982 20.4639
133.666992 66.898 20.5814
134.033203 66.915 20.8650
134.399414 67.017 19.9359
134.765625 67.004 18.3295
135.131836 67.008 16.3947
135.498047 67.022 12.5986
135.864258 66.772 7.0527
136.230469 66.180 1.8000
136.596680 65.393 -2.6787
136.962891 64.290 -7.8997
137.329102 62.390 -13.1476
137.695312 59.572 -13.4749
138.061523 56.310 -4.0341
138.427734 53.551 22.6323
138.793945 54.756 56.8569
139.160156 57.436 72.2527
139.526367 59.584 79.8303
139.892578 61.585 82.5955
140.258789 63.227 81.8912
140.625000 64.572 80.3538
140.991211 65.685 78.7031
141.357422 66.666 77.0691
141.723633 67.531 73.9418
142.089844 68.035 69.5563
142.456055 68.315 66.0851
142.822266 68.653 62.6166
143.188477 68.805 58.5054
143.554688 68.804 55.7999
143.920898 68.899 53.6090
144.287109 68.853 51.2731
144.653320 68.710 50.7496
145.019531 68.788 50.9639
145.385742 68.966 50.3928
145.751953 69.193 49.2817
146.118164 69.355 47.6809
146.484375 69.457 47.1050
146.850586 69.723 46.3569
147.216797 69.801 44.0924
147.583008 69.674 43.5210
147.949219 69.955 43.7045
148.315430 70.317 41.3385
148.681641 70.439 38.9667
149.047852 70.630 36.8114
149.414062 70.716 33.3054
149.780273 70.580 30.4083
150.146484 70.512 28.3718
150.512695 70.437 25.8331
150.878906 70.261 23.1876
151.245117 69.983 20.2340
151.611328 69.525 18.0472
151.977539 69.115 17.4426
152.343750 68.716 16.8348
152.709961 68.131 17.0363
153.076172 67.642 18.0472
153.442383 67.190 18.9888
153.808594 66.992 22.3325
154.174805 67.206 25.5164
154.541016 67.104 30.5750
154.907227 67.681 39.7528
155.273438 68.795 40.4271
155.639648 68.692 35.8174
156.005859 68.183 36.7053
156.372070 68.750 38.3197
156.738281 69.410 36.0288
157.104492 69.813 35.0815
157.470703 70.294 34.6208
157.836914 70.621 33.6530
158.203125 71.001 32.8684
158.569336 71.447 30.0765
158.935547 71.649 26.5446
159.301758 71.865 24.0371
159.667969 72.213 20.8436
160.034180 72.421 16.8424
160.400391 72.456 13.3027
160.766602 72.402 10.4500
161.132812 72.366 7.9165
161.499023 72.341 4.7219
161.865234 72.220 1.6252
162.231445 72.198 -0.6541
162.597656 72.252 -3.7686
162.963867 72.085 -6.9666
163.330078 71.918 -8.9139
163.696289 71.847 -11.5243
164.062500 71.611 -14.1990
164.428711 71.428 -15.7103
164.794922 71.342 -17.9122
165.161133 71.136 -20.2263
165.527344 71.021 -22.1498
165.893555 70.881 -25.2937
166.259766 70.502 -27.9287
166.625977 70.213 -29.8115
