* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 0.000 0.0000
0.366211 0.000 0.1370
0.732422 0.000 0.2739
1.098633 0.000 0.4109
1.464844 0.000 0.5478
1.831055 0.000 0.6848
2.197266 0.000 0.8217
2.563477 0.000 0.9587
2.929688 0.000 1.0956
3.295898 0.000 1.2324
3.662109 0.000 1.3694
4.028320 0.000 1.5062
4.394531 0.000 1.6431
4.760742 0.000 1.7799
5.126953 0.000 1.9167
5.493164 0.000 2.0535
5.859375 0.000 2.1903
6.225586 0.000 2.3270
6.591797 0.000 2.4637
6.958008 0.000 2.6004
7.324219 0.000 2.7370
7.690430 0.000 2.8736
8.056641 0.000 3.0101
8.422852 0.000 3.1467
8.789062 0.000 3.2831
9.155273 0.000 3.4195
9.521484 0.000 3.5559
9.887695 0.000 3.6923
10.253906 0.000 3.8286
10.620117 0.000 3.9648
10.986328 0.000 4.1010
11.352539 0.000 4.2372
11.718750 0.000 4.3732
12.084961 0.000 4.5092
12.451172 0.000 4.6452
12.817383 0.000 4.7810
13.183594 0.000 4.9169
13.549805 0.000 5.0526
13.916016 0.000 5.1883
14.282227 0.000 5.3239
14.648438 0.000 5.4594
15.014648 0.000 5.5949
15.380859 0.000 5.7302
15.747070 0.000 5.8655
16.113281 0.000 6.0007
16.479492 -0.000 6.1359
16.845703 0.000 6.2708
17.211914 -0.000 6.4058
17.578125 0.000 6.5405
17.944336 -0.000 6.6753
18.310547 0.000 6.8097
18.676758 -0.000 6.9443
19.042969 0.000 7.0785
19.409180 -0.000 7.2128
19.775391 0.000 7.3467
20.141602 -0.000 7.4806
20.507812 0.000 7.6142
20.874023 -0.000 7.7477
21.240234 0.000 7.8808
21.606445 -0.000 8.0137
21.972656 0.000 8.1461
22.338867 0.000 8.2781
22.705078 0.000 8.4091
23.071289 -0.000 8.5387
23.437500 -0.000 8.6647
23.803711 -0.001 8.7814
24.169922 -0.007 8.8999
24.536133 -0.013 9.0754
24.902344 -0.010 9.2665
25.268555 -0.003 9.4047
25.634766 -0.000 9.5173
26.000977 -0.000 9.6393
26.367188 0.000 9.7664
26.733398 -0.000 9.8954
27.099609 0.000 10.0252
27.465820 -0.000 10.1554
27.832031 0.000 10.2857
28.198242 0.000 10.4162
28.564453 0.000 10.5465
28.930664 -0.000 10.6769
29.296875 0.000 10.8071
29.663086 -0.000 10.9372
30.029297 0.000 11.0673
30.395508 -0.000 11.1971
30.761719 0.000 11.3268
31.127930 0.000 11.4563
31.494141 0.000 11.5857
31.860352 -0.000 11.7148
32.226562 0.000 11.8438
32.592773 0.000 11.9725
32.958984 -0.000 12.1011
33.325195 -0.000 12.2294
33.691406 0.000 12.3576
34.057617 -0.000 12.4854
34.423828 -0.000 12.6130
34.790039 0.000 12.7405
35.156250 0.000 12.8677
35.522461 0.000 12.9946
35.888672 -0.000 13.1212
36.254883 -0.000 13.2476
36.621094 0.000 13.3737
36.987305 0.000 13.4995
37.353516 0.000 13.6251
37.719727 -0.000 13.7504
38.085938 0.000 13.8754
38.452148 -0.000 14.0000
38.818359 -0.000 14.1244
39.184570 -0.000 14.2484
39.550781 0.000 14.3721
39.916992 -0.000 14.4955
40.283203 -0.000 14.6186
40.649414 -0.000 14.7413
41.015625 -0.000 14.8636
41.381836 -0.000 14.9856
41.748047 -0.000 15.1072
42.114258 -0.000 15.2285
42.480469 0.000 15.3493
42.846680 -0.000 15.4698
43.212891 -0.000 15.5899
43.579102 -0.000 15.7095
43.945312 0.000 15.8287
44.311523 -0.000 15.9475
44.677734 -0.000 16.0658
45.043945 -0.000 16.1837
45.410156 0.000 16.3012
45.776367 -0.000 16.4181
46.142578 0.000 16.5346
46.508789 -0.000 16.6505
46.875000 0.000 16.7660
47.241211 -0.000 16.8810
47.607422 0.000 16.9954
47.973633 -0.000 17.1092
48.339844 0.000 17.2225
48.706055 0.000 17.3352
49.072266 0.000 17.4474
49.438477 0.000 17.5589
49.804688 0.000 17.6698
50.170898 -0.000 17.7801
50.537109 -0.000 17.8896
50.903320 0.000 17.9986
51.269531 0.000 18.1068
51.635742 -0.000 18.2144
52.001953 -0.000 18.3212
52.368164 0.000 18.4272
52.734375 0.000 18.5326
53.100586 -0.000 18.6371
53.466797 -0.000 18.7408
53.833008 -0.000 18.8437
54.199219 0.000 18.9457
54.565430 -0.000 19.0468
54.931641 -0.000 19.1471
55.297852 -0.000 19.2464
55.664062 0.000 19.3447
56.030273 -0.000 19.4420
56.396484 -0.000 19.5384
56.762695 -0.000 19.6336
57.128906 0.000 19.7278
57.495117 0.000 19.8208
57.861328 -0.000 19.9127
