* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 0.000 0.0000
0.366211 0.000 0.1431
0.732422 0.000 0.2863
1.098633 0.000 0.4295
1.464844 0.000 0.5726
1.831055 0.000 0.7157
2.197266 0.000 0.8589
2.563477 0.000 1.0020
2.929688 0.000 1.1452
3.295898 0.000 1.2882
3.662109 0.000 1.4313
4.028320 0.000 1.5744
4.394531 0.000 1.7174
4.760742 0.000 1.8605
5.126953 0.000 2.0035
5.493164 0.000 2.1464
5.859375 0.000 2.2894
6.225586 0.000 2.4323
6.591797 0.000 2.5752
6.958008 0.000 2.7181
7.324219 0.000 2.8609
7.690430 0.000 3.0037
8.056641 0.000 3.1465
8.422852 0.000 3.2893
8.789062 0.000 3.4319
9.155273 0.000 3.5745
9.521484 0.000 3.7171
9.887695 0.000 3.8597
10.253906 0.000 4.0022
10.620117 0.000 4.1446
10.986328 0.000 4.2871
11.352539 0.000 4.4294
11.718750 0.000 4.5717
12.084961 0.000 4.7139
12.451172 0.000 4.8560
12.817383 -0.000 4.9981
13.183594 0.000 5.1402
13.549805 0.000 5.2822
13.916016 0.000 5.4241
14.282227 0.000 5.5659
14.648438 -0.000 5.7077
15.014648 0.000 5.8494
15.380859 0.000 5.9910
15.747070 0.000 6.1324
16.113281 -0.000 6.2738
16.479492 0.000 6.4153
16.845703 -0.000 6.5564
17.211914 0.000 6.6976
17.578125 -0.000 6.8385
17.944336 0.000 6.9796
18.310547 0.000 7.1203
18.676758 0.000 7.2610
19.042969 0.000 7.4015
19.409180 0.000 7.5420
19.775391 0.000 7.6821
20.141602 -0.000 7.8223
20.507812 0.000 7.9621
20.874023 -0.000 8.1019
21.240234 0.000 8.2412
21.606445 0.000 8.3804
21.972656 0.000 8.5190
22.338867 0.000 8.6572
22.705078 0.000 8.7945
23.071289 -0.000 8.9303
23.437500 -0.000 9.0625
23.803711 -0.001 9.1854
24.169922 -0.007 9.3103
24.536133 -0.013 9.4919
24.902344 -0.010 9.6893
25.268555 -0.003 9.8338
25.634766 -0.000 9.9525
26.000977 -0.000 10.0808
26.367188 0.000 10.2142
26.733398 -0.000 10.3494
27.099609 -0.000 10.4854
27.465820 0.000 10.6218
27.832031 0.000 10.7583
28.198242 0.000 10.8950
28.564453 0.000 11.0316
28.930664 -0.000 11.1682
29.296875 0.000 11.3046
29.663086 0.000 11.4409
30.029297 0.000 11.5771
30.395508 -0.000 11.7132
30.761719 0.000 11.8491
31.127930 -0.000 11.9848
31.494141 0.000 12.1203
31.860352 -0.000 12.2556
32.226562 0.000 12.3908
32.592773 -0.000 12.5257
32.958984 -0.000 12.6604
33.325195 -0.000 12.7948
33.691406 0.000 12.9291
34.057617 0.000 13.0630
34.423828 0.000 13.1968
34.790039 0.000 13.3303
35.156250 -0.000 13.4635
35.522461 0.000 13.5965
35.888672 -0.000 13.7292
36.254883 0.000 13.8616
36.621094 0.000 13.9938
36.987305 0.000 14.1256
37.353516 -0.000 14.2572
37.719727 0.000 14.3884
38.085938 0.000 14.5193
38.452148 -0.000 14.6499
38.818359 -0.000 14.7802
39.184570 -0.000 14.9101
39.550781 0.000 15.0397
39.916992 -0.000 15.1689
40.283203 0.000 15.2977
40.649414 -0.000 15.4262
41.015625 0.000 15.5542
41.381836 -0.000 15.6819
41.748047 -0.000 15.8092
42.114258 0.000 15.9361
42.480469 -0.000 16.0625
42.846680 0.000 16.1885
43.212891 -0.000 16.3140
43.579102 -0.000 16.4392
43.945312 0.000 16.5638
44.311523 -0.000 16.6879
44.677734 -0.000 16.8115
45.043945 0.000 16.9346
45.410156 -0.000 17.0572
45.776367 -0.000 17.1792
46.142578 0.000 17.3008
46.508789 -0.000 17.4216
46.875000 -0.000 17.5420
47.241211 -0.000 17.6617
47.607422 0.000 17.7808
47.973633 -0.000 17.8992
48.339844 0.000 18.0170
48.706055 0.000 18.1341
49.072266 0.000 18.2504
49.438477 0.000 18.3661
49.804688 -0.000 18.4810
50.170898 0.000 18.5952
50.537109 -0.000 18.7085
50.903320 0.000 18.8210
51.269531 0.000 18.9327
51.635742 -0.000 19.0434
52.001953 0.000 19.1533
52.368164 0.000 19.2622
52.734375 -0.000 19.3701
53.100586 -0.000 19.4770
53.466797 0.000 19.5829
53.833008 0.000 19.6877
54.199219 0.000 19.7913
54.565430 0.000 19.8938
54.931641 0.000 19.9950
55.297852 -0.000 20.0949
55.664062 0.000 20.1935
56.030273 -0.000 20.2907
56.396484 0.000 20.3865
56.762695 -0.000 20.4807
57.128906 -0.000 20.5734
57.495117 0.000 20.6644
57.861328 0.000 20.7536
58.227539 0.000 20.8411
