* Generated by rew_pipeline.py (source UUID e8331ac2-31c2-4b44-99b7-25a0730980a7, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -0.999963 s))
* Measurement: L.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 47.295 0.0000
0.366211 48.860 46.4639
0.732422 57.170 93.8938
1.098633 48.207 -20.7244
1.464844 43.161 144.0334
1.831055 54.567 -128.3356
2.197266 57.054 110.2029
2.563477 57.973 61.0063
2.929688 57.171 -117.4846
3.295898 55.304 130.3926
3.662109 47.355 -154.7883
4.028320 55.787 169.5682
4.394531 34.709 -25.2040
4.760742 54.317 -19.3088
5.126953 58.736 -46.0946
5.493164 49.138 83.6415
5.859375 47.796 -135.0199
6.225586 50.140 -4.6432
6.591797 49.023 10.4086
6.958008 44.355 -155.7251
7.324219 56.670 -32.6289
7.690430 54.293 -77.5833
8.056641 50.944 -45.8961
8.422852 51.970 -54.7583
8.789062 50.462 -16.6205
9.155273 55.006 -86.4867
9.521484 61.248 -43.5627
9.887695 57.046 -73.7508
10.253906 61.069 -111.1907
10.620117 54.261 -103.4708
10.986328 47.824 -103.5190
11.352539 60.705 -125.1309
11.718750 66.656 -112.7211
12.084961 61.154 -61.8578
12.451172 64.736 -130.4535
12.817383 64.985 -114.2408
13.183594 68.247 -98.1713
13.549805 69.358 -123.9208
13.916016 68.730 -118.6563
14.282227 69.949 -124.9923
14.648438 68.144 -121.1919
15.014648 68.731 -128.8190
15.380859 69.602 -119.0015
15.747070 70.041 -130.9029
16.113281 71.185 -136.1989
16.479492 73.317 -148.1167
16.845703 73.370 -156.0292
17.211914 73.513 -168.6136
17.578125 74.503 -170.2386
17.944336 74.436 -171.0149
18.310547 75.021 -174.6812
18.676758 75.968 171.7462
19.042969 76.442 168.9590
19.409180 76.692 160.8242
19.775391 76.974 155.5777
20.141602 77.043 146.9058
20.507812 76.850 139.3583
20.874023 76.273 136.0144
21.240234 75.720 135.6620
21.606445 76.304 134.4580
21.972656 76.787 130.0490
22.338867 77.261 128.1944
22.705078 77.491 123.6173
23.071289 77.789 116.2290
23.437500 77.511 110.7009
23.803711 77.615 103.8730
24.169922 77.705 98.9837
24.536133 77.966 98.4243
24.902344 78.239 90.8282
25.268555 77.102 82.2305
25.634766 77.176 75.9905
26.000977 76.775 70.8433
26.367188 76.153 65.3813
26.733398 75.605 61.9398
27.099609 74.323 55.2482
27.465820 73.389 61.0344
27.832031 72.540 63.3810
28.198242 72.078 60.8103
28.564453 68.582 57.5077
28.930664 65.253 58.6948
29.296875 65.938 82.2765
29.663086 68.807 105.1093
30.029297 71.642 111.8613
30.395508 73.784 108.1063
30.761719 75.458 99.7536
31.127930 76.088 95.4159
31.494141 76.869 92.9809
31.860352 76.664 85.0183
32.226562 77.480 82.5054
32.592773 77.550 78.9842
32.958984 77.454 74.3165
33.325195 77.845 70.9676
33.691406 78.169 67.7420
34.057617 78.511 62.9540
34.423828 78.870 59.4495
34.790039 79.026 54.6292
35.156250 79.490 48.1514
35.522461 79.654 40.5726
35.888672 79.571 35.9586
36.254883 79.455 27.3224
36.621094 78.847 18.7276
36.987305 78.174 11.0694
37.353516 77.258 4.8406
37.719727 76.085 -0.4191
38.085938 74.430 -2.7930
38.452148 72.831 -1.8142
38.818359 71.838 -0.2142
39.184570 70.229 5.4089
39.550781 71.055 4.4248
39.916992 68.898 12.3246
40.283203 69.343 14.5386
40.649414 68.609 17.8377
41.015625 68.302 23.9329
41.381836 69.090 25.1805
41.748047 68.485 39.6746
42.114258 68.433 44.1640
42.480469 69.902 41.1154
42.846680 70.389 53.5030
43.212891 71.015 59.9671
43.579102 71.786 56.6123
43.945312 70.933 57.2141
44.311523 72.374 40.2175
44.677734 73.269 42.9302
45.043945 73.179 43.3207
45.410156 70.798 37.8365
45.776367 71.123 37.8962
46.142578 71.395 53.9491
46.508789 71.860 72.8231
46.875000 74.502 70.1420
47.241211 76.432 66.2349
47.607422 77.840 64.4578
47.973633 78.469 59.0662
48.339844 79.105 50.1252
48.706055 79.644 45.9165
49.072266 80.591 39.7817
49.438477 81.481 41.5707
49.804688 81.169 30.8686
50.170898 82.783 25.3756
50.537109 83.585 15.4778
50.903320 84.028 5.9628
51.269531 83.894 -5.8755
51.635742 83.848 -15.7178
52.001953 83.270 -25.3941
52.368164 82.652 -34.3376
52.734375 81.802 -40.8337
53.100586 81.225 -47.1230
53.466797 80.318 -50.6374
53.833008 79.311 -54.6943
54.199219 78.588 -55.6459
54.565430 78.535 -55.1611
54.931641 78.193 -59.5202
55.297852 77.402 -61.5773
55.664062 77.591 -65.8226
56.030273 76.908 -67.7393
56.396484 76.361 -71.9096
56.762695 75.867 -72.7020
57.128906 76.022 -76.3636
57.495117 75.378 -79.7298
57.861328 75.471 -80.7988
58.227539 75.643 -83.7236
58.593750 75.694 -87.6810
58.959961 75.703 -92.7601
59.326172 75.723 -98.0117
59.692383 75.693 -103.5196
60.058594 75.739 -108.7491
60.424805 76.175 -115.0838
60.791016 76.245 -121.7906
61.157227 76.968 -131.9908
61.523438 77.318 -141.2052
61.889648 77.659 -151.5387
62.255859 78.134 -164.9450
62.622070 78.158 -177.5909
62.988281 77.747 170.1738
63.354492 77.835 157.4783
63.720703 77.404 146.0804
64.086914 76.777 134.4354
64.453125 76.748 126.8760
64.819336 76.340 114.4068
65.185547 76.576 106.9467
65.551758 76.191 99.6495
65.917969 76.140 91.2699
66.284180 76.373 80.2886
66.650391 76.151 69.9683
67.016602 75.776 57.2206
67.382812 75.387 46.1753
67.749023 73.469 36.6008
68.115234 72.441 30.0737
68.481445 70.095 25.9415
68.847656 69.476 27.5995
69.213867 68.684 36.4902
69.580078 68.898 37.3840
69.946289 68.007 30.5129
70.312500 67.664 33.7000
70.678711 68.102 26.6025
71.044922 67.828 24.4152
71.411133 67.375 21.0134
71.777344 65.701 14.6302
72.143555 65.292 10.2093
72.509766 64.097 5.8554
72.875977 62.369 3.3242
73.242188 61.039 -7.6040
73.608398 59.626 -18.4141
73.974609 55.156 -65.0151
74.340820 56.814 -93.0077
74.707031 59.578 -136.7715
75.073242 63.418 -170.2886
75.439453 65.329 177.6927
75.805664 67.038 165.6721
76.171875 68.965 159.6832
76.538086 69.911 152.4098
76.904297 71.234 147.9145
77.270508 71.383 143.9289
77.636719 73.134 142.2409
78.002930 74.132 141.9350
78.369141 74.772 135.6794
78.735352 75.692 134.7115
79.101562 76.677 134.9783
79.467773 78.420 134.1614
79.833984 80.283 130.0521
80.200195 81.780 122.4910
80.566406 82.988 113.0198
80.932617 83.791 103.5809
81.298828 84.563 92.7234
81.665039 84.888 82.5066
82.031250 84.893 73.1030
82.397461 84.982 64.2902
82.763672 84.835 55.9180
83.129883 84.515 48.8309
83.496094 84.110 42.3240
83.862305 83.594 37.7188
84.228516 82.912 32.5417
84.594727 82.457 29.6318
84.960938 81.988 30.1261
85.327148 81.632 28.9295
85.693359 81.691 29.0109
86.059570 81.964 27.7336
86.425781 82.155 26.2169
86.791992 82.580 21.7906
87.158203 82.720 18.6108
87.524414 82.658 14.3779
87.890625 82.716 9.9615
88.256836 82.503 6.1146
88.623047 82.399 1.5581
88.989258 82.204 -1.8510
89.355469 81.896 -9.6883
89.721680 81.679 -11.0769
90.087891 81.351 -13.5977
90.454102 81.140 -13.2394
90.820312 81.095 -18.5680
91.186523 81.182 -24.5434
91.552734 80.881 -29.4774
91.918945 80.539 -37.9288
92.285156 79.689 -41.0186
92.651367 78.706 -49.3908
93.017578 77.058 -55.9323
93.383789 75.472 -55.0257
93.750000 73.754 -52.8774
94.116211 72.914 -50.7957
94.482422 71.525 -43.6705
94.848633 70.430 -44.1033
95.214844 69.507 -36.8573
95.581055 69.296 -26.8812
95.947266 68.455 -20.8296
96.313477 68.700 -16.8020
96.679688 68.742 -10.7554
97.045898 68.951 -11.7467
97.412109 68.441 -7.0012
97.778320 68.052 0.4236
98.144531 68.814 12.7892
98.510742 68.956 15.4052
98.876953 69.655 22.4032
99.243164 70.608 23.3945
99.609375 71.240 24.8827
99.975586 71.739 26.1485
100.341797 72.382 24.0379
100.708008 72.674 26.5628
101.074219 73.201 28.0836
101.440430 73.704 26.3262
101.806641 74.194 28.6253
102.172852 74.636 29.4743
102.539062 75.419 29.3923
102.905273 76.165 26.6328
103.271484 77.144 24.9839
103.637695 77.952 20.8657
104.003906 78.195 16.6457
104.370117 78.554 11.3896
104.736328 78.398 6.0095
105.102539 78.258 0.2097
105.468750 78.152 -3.5416
105.834961 77.823 -7.3115
106.201172 77.311 -10.5387
106.567383 76.838 -12.6393
106.933594 76.041 -12.8251
107.299805 75.309 -11.1439
107.666016 74.603 -8.2807
108.032227 74.326 -2.6303
108.398438 74.445 0.7032
108.764648 75.089 5.6712
109.130859 75.448 7.1775
109.497070 76.238 7.6167
109.863281 76.475 6.9885
110.229492 77.116 6.1732
110.595703 77.409 4.6596
110.961914 77.714 2.9656
111.328125 78.072 0.4194
111.694336 78.009 -0.2399
112.060547 78.108 -1.3717
112.426758 78.428 -1.6197
112.792969 78.788 -3.1979
113.159180 79.027 -4.7569
113.525391 79.526 -7.7395
113.891602 79.732 -11.9535
114.257812 79.963 -15.6283
114.624023 80.041 -19.8988
114.990234 80.002 -24.8807
115.356445 79.636 -30.3750
115.722656 79.116 -34.4773
116.088867 78.361 -37.9532
116.455078 77.536 -40.0321
116.821289 76.557 -39.9971
117.187500 75.658 -35.8411
117.553711 75.390 -32.8728
117.919922 75.442 -26.6362
118.286133 75.685 -24.2215
118.652344 76.094 -23.3735
119.018555 76.326 -24.0883
119.384766 76.479 -23.0784
119.750977 76.763 -24.5710
120.117188 76.409 -25.8642
120.483398 76.139 -26.1093
120.849609 75.909 -25.1552
121.215820 75.949 -22.1907
121.582031 75.801 -19.3726
121.948242 76.313 -17.5282
122.314453 76.901 -15.1281
122.680664 77.431 -15.6792
123.046875 78.279 -16.8622
123.413086 78.828 -18.7111
123.779297 79.216 -22.9845
124.145508 79.370 -27.7123
124.511719 79.355 -32.2867
124.877930 79.361 -35.8574
125.244141 79.227 -37.7723
125.610352 79.043 -40.6454
125.976562 78.808 -42.6752
126.342773 78.631 -44.1623
126.708984 78.351 -48.2308
127.075195 77.972 -49.5601
127.441406 77.764 -51.3939
127.807617 77.341 -53.1302
128.173828 76.889 -51.5431
128.540039 76.514 -53.0961
128.906250 76.248 -52.0731
129.272461 76.029 -52.4298
129.638672 76.048 -50.2892
130.004883 75.789 -50.4996
130.371094 75.476 -50.7352
130.737305 75.085 -49.4607
131.103516 74.872 -49.0988
131.469727 74.491 -48.4854
131.835938 74.758 -44.8337
132.202148 74.548 -42.0936
132.568359 74.939 -41.2508
132.934570 75.235 -39.1799
133.300781 75.350 -40.8139
133.666992 75.347 -40.1692
134.033203 75.484 -41.2699
134.399414 75.306 -41.9114
134.765625 75.197 -41.3692
135.131836 75.112 -39.1500
135.498047 75.058 -38.6565
135.864258 75.226 -36.9075
136.230469 75.524 -35.3987
136.596680 75.662 -36.3371
136.962891 75.725 -34.5160
137.329102 76.101 -33.0864
137.695312 76.305 -33.8646
138.061523 76.666 -33.8324
138.427734 77.075 -33.3348
138.793945 77.370 -35.0063
139.160156 77.907 -36.5623
139.526367 78.197 -37.7610
139.892578 78.391 -40.2324
140.258789 78.571 -41.7444
140.625000 78.661 -45.7995
140.991211 78.714 -47.8733
141.357422 78.625 -49.5231
141.723633 78.766 -51.2355
142.089844 78.589 -52.7652
142.456055 78.709 -54.3717
142.822266 78.758 -56.5648
143.188477 78.838 -58.3451
143.554688 79.003 -60.7482
143.920898 78.847 -63.3713
144.287109 78.735 -67.2532
144.653320 78.568 -69.7009
145.019531 78.412 -73.8333
145.385742 77.926 -76.5552
145.751953 77.488 -79.4845
146.118164 76.783 -82.7446
146.484375 75.813 -84.4588
146.850586 74.985 -84.2781
147.216797 73.838 -81.4352
147.583008 73.157 -75.0285
147.949219 72.572 -70.1322
148.315430 72.471 -60.4208
148.681641 73.113 -53.7734
149.047852 73.869 -50.1838
149.414062 74.757 -47.7628
149.780273 75.578 -47.5071
150.146484 76.130 -48.9805
150.512695 76.876 -51.2719
150.878906 77.144 -54.1056
151.245117 77.378 -58.0692
151.611328 77.346 -60.7252
151.977539 77.180 -61.8258
152.343750 77.132 -64.7611
152.709961 76.967 -65.9443
153.076172 76.919 -67.2017
153.442383 76.626 -66.9879
153.808594 76.620 -67.2420
154.174805 76.664 -67.3658
154.541016 76.628 -68.7362
154.907227 76.344 -67.9562
155.273438 76.507 -66.4287
155.639648 76.733 -66.6285
156.005859 76.808 -67.4144
156.372070 76.903 -66.8154
156.738281 76.984 -67.2282
157.104492 77.141 -67.5921
157.470703 77.385 -68.4486
157.836914 77.580 -68.7104
158.203125 78.012 -68.6846
158.569336 78.363 -71.0216
158.935547 78.631 -73.9556
159.301758 78.865 -76.8776
159.667969 78.814 -80.4079
160.034180 78.942 -83.3977
160.400391 78.646 -87.1019
160.766602 78.454 -89.1284
161.132812 78.144 -90.8260
161.499023 77.995 -92.9111
161.865234 77.706 -94.1901
162.231445 77.400 -95.2069
162.597656 77.161 -96.2211
162.963867 77.063 -97.0625
163.330078 76.881 -97.3157
163.696289 76.827 -97.2038
164.062500 76.617 -97.2490
164.428711 76.769 -96.6790
164.794922 76.817 -98.1125
165.161133 76.896 -97.9611
165.527344 77.030 -99.1524
165.893555 77.302 -102.3699
166.259766 77.331 -104.4072
166.625977 77.174 -106.5061
166.992188 77.192 -110.5738
167.358398 77.025 -113.0271
167.724609 76.928 -117.1375
168.090820 76.349 -119.6033
168.457031 76.139 -121.3115
168.823242 75.654 -124.1664
169.189453 75.193 -126.2462
169.555664 74.709 -128.0489
169.921875 74.127 -127.6240
170.288086 73.769 -128.8382
170.654297 73.099 -130.2781
171.020508 72.755 -130.7901
171.386719 72.333 -131.8239
171.752930 71.761 -132.1328
172.119141 71.017 -131.8857
172.485352 70.335 -131.7725
172.851562 69.618 -128.3745
173.217773 68.635 -127.5578
173.583984 68.473 -122.5454
173.950195 67.819 -119.0375
174.316406 67.698 -110.7260
174.682617 67.983 -105.1706
175.048828 68.111 -99.7263
175.415039 68.264 -98.7356
175.781250 68.940 -94.0711
176.147461 69.672 -91.6601
176.513672 70.228 -92.6075
176.879883 70.773 -90.7652
177.246094 71.167 -93.4033
177.612305 71.561 -96.2680
177.978516 72.227 -97.1552
178.344727 72.231 -101.2688
178.710938 72.423 -104.0474
179.077148 72.605 -106.3417
179.443359 72.707 -110.6474
179.809570 72.716 -113.0401
180.175781 72.690 -115.3304
180.541992 72.398 -118.3863
180.908203 72.424 -122.9948
181.274414 72.702 -125.0961
181.640625 72.564 -129.7595
182.006836 72.250 -134.9470
182.373047 71.900 -140.5581
182.739258 71.649 -147.2355
183.105469 71.659 -151.8649
183.471680 71.224 -159.0476
183.837891 70.764 -165.0410
184.204102 70.190 -176.5194
184.570312 69.509 173.5149
184.936523 69.360 164.1263
185.302734 68.759 151.3719
185.668945 68.044 135.9851
186.035156 67.662 119.9371
186.401367 67.172 109.1094
186.767578 66.969 87.5872
187.133789 67.619 75.0833
187.500000 67.902 61.8320
187.866211 68.687 48.8256
188.232422 69.107 36.9604
188.598633 69.481 29.7979
188.964844 69.866 21.2927
189.331055 70.266 14.2767
189.697266 70.760 7.6752
190.063477 71.342 4.4228
190.429688 71.285 -1.2253
190.795898 71.773 -2.5718
191.162109 71.942 -6.4809
191.528320 72.345 -7.8807
191.894531 72.898 -10.6003
192.260742 73.056 -12.3203
192.626953 73.709 -14.6910
192.993164 74.299 -16.8372
193.359375 74.631 -18.5197
193.725586 75.041 -22.2023
194.091797 75.327 -25.0161
194.458008 75.845 -28.5126
194.824219 76.052 -33.2801
195.190430 75.999 -35.6576
195.556641 76.184 -39.9224
195.922852 76.175 -42.4531
196.289062 76.053 -45.6483
196.655273 76.135 -47.5147
197.021484 75.770 -50.4936
197.387695 75.692 -50.4550
197.753906 75.266 -50.5277
198.120117 74.993 -48.8098
198.486328 75.069 -47.0503
198.852539 75.050 -45.2831
199.218750 75.616 -42.6265
199.584961 76.201 -40.8948
199.951172 76.708 -40.9407
200.317383 77.363 -41.3017
200.683594 77.870 -42.2728
201.049805 78.526 -43.1241
201.416016 79.216 -44.8788
201.782227 79.652 -48.6801
202.148438 80.010 -52.0221
202.514648 80.560 -55.6705
202.880859 80.744 -59.0592
203.247070 80.948 -63.6285
203.613281 81.187 -67.2513
203.979492 81.304 -70.6945
204.345703 81.361 -73.8429
204.711914 81.357 -77.3603
205.078125 81.426 -80.9168
205.444336 81.511 -83.2873
205.810547 81.404 -87.1444
206.176758 81.361 -90.4220
206.542969 81.280 -93.6196
206.909180 81.196 -96.5662
207.275391 80.950 -99.0583
207.641602 80.793 -102.2807
208.007812 80.564 -105.2084
208.374023 80.291 -107.7814
208.740234 80.054 -109.2411
209.106445 79.722 -110.7942
209.472656 79.533 -113.0217
209.838867 79.356 -113.1563
210.205078 78.991 -115.1672
210.571289 78.899 -116.4187
210.937500 78.564 -116.1642
211.303711 78.228 -116.2975
211.669922 78.013 -116.3574
212.036133 77.871 -114.6106
212.402344 77.949 -114.8051
212.768555 77.873 -114.1422
213.134766 78.059 -113.7104
213.500977 78.130 -114.0664
213.867188 78.347 -114.5323
214.233398 78.515 -115.7142
214.599609 78.609 -117.1034
214.965820 78.925 -119.3555
215.332031 78.938 -120.5625
215.698242 79.054 -123.5130
216.064453 79.062 -125.8583
216.430664 79.058 -128.3253
216.796875 79.006 -130.2296
217.163086 78.931 -132.9433
217.529297 78.697 -136.4887
217.895508 78.527 -139.4232
218.261719 78.338 -140.9891
218.627930 78.010 -143.4409
218.994141 77.606 -145.3934
219.360352 77.367 -147.5381
219.726562 76.758 -148.4470
220.092773 76.275 -150.3505
220.458984 75.891 -150.8186
220.825195 75.416 -148.3818
221.191406 74.963 -147.9441
221.557617 74.506 -146.6659
221.923828 74.438 -144.2506
222.290039 74.257 -140.8449
222.656250 74.238 -139.0300
223.022461 74.250 -136.7495
223.388672 74.387 -136.7671
223.754883 74.710 -134.3833
224.121094 75.139 -132.9200
224.487305 75.441 -133.9777
224.853516 75.628 -133.9874
225.219727 75.968 -136.5875
225.585938 76.188 -137.4290
225.952148 76.201 -140.0901
226.318359 76.512 -142.9092
226.684570 76.685 -143.4610
227.050781 76.599 -145.7568
227.416992 76.460 -148.7519
227.783203 76.591 -150.1275
228.149414 76.561 -151.6059
228.515625 76.487 -153.8576
228.881836 76.484 -155.3680
229.248047 76.576 -158.3666
229.614258 76.655 -160.1388
229.980469 76.382 -163.1234
230.346680 76.285 -167.2365
230.712891 76.262 -170.8487
231.079102 75.658 -172.5705
231.445312 75.138 -175.7731
231.811523 74.771 -179.0458
232.177734 74.301 177.7152
232.543945 73.733 176.5575
232.910156 72.837 176.8508
233.276367 72.026 176.2561
233.642578 71.420 175.9200
234.008789 70.673 -178.9331
234.375000 70.012 -177.3998
234.741211 69.847 -174.1787
235.107422 69.661 -172.1975
235.473633 69.927 -166.2571
235.839844 69.377 -160.9180
236.206055 69.883 -157.3340
236.572266 70.397 -156.8939
236.938477 70.681 -152.9521
237.304688 71.125 -153.5032
237.670898 71.520 -154.6820
238.037109 71.795 -155.4538
238.403320 71.794 -158.1871
238.769531 71.954 -159.4737
239.135742 72.056 -160.7081
239.501953 72.044 -161.3130
239.868164 71.966 -163.5676
240.234375 71.915 -160.9412
240.600586 71.719 -161.8489
240.966797 71.922 -164.0341
241.333008 71.932 -160.7629
241.699219 72.381 -162.8375
242.065430 72.407 -162.1565
242.431641 72.703 -163.1417
242.797852 72.896 -163.9120
243.164062 72.955 -166.0128
243.530273 73.349 -167.2451
243.896484 73.377 -169.8682
244.262695 73.577 -172.0441
