* Generated by rew_pipeline.py (source UUID 6c5ff0b0-8c32-4d9a-87d3-d1c755ad89b3, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.filtered.120.green.multipos.fdw6, R.filtered.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 26.708 0.0000
0.183105 28.566 31.0328
0.366211 27.072 71.5114
0.549316 28.101 94.1796
0.732422 27.838 139.4140
0.915527 27.363 160.4753
1.098633 28.481 -156.4474
1.281738 26.808 -129.1307
1.464844 28.708 -94.2544
1.647949 26.929 -56.9744
1.831055 28.444 -31.8463
2.014160 27.655 12.6099
2.197266 27.794 32.9580
2.380371 28.450 78.0298
2.563477 27.110 101.8696
2.746582 28.906 140.6361
2.929688 26.958 174.0827
3.112793 28.869 -157.4461
3.295898 27.560 -114.6876
3.479004 28.363 -93.9786
3.662109 28.466 -47.6365
3.845215 27.628 -26.8047
4.028320 29.155 15.7221
4.211426 27.202 44.7408
4.394531 29.372 77.4448
4.577637 27.580 117.3681
4.760742 29.067 139.7900
4.943848 28.534 -173.5836
5.126953 28.372 -154.8898
5.310059 29.452 -109.0220
5.493164 27.722 -84.7815
5.676270 29.949 -47.1381
5.859375 27.777 -11.3810
6.042480 29.900 14.3688
6.225586 28.674 59.9646
6.408691 29.345 77.9141
6.591797 29.798 126.2926
6.774902 28.573 145.9654
6.958008 30.603 -171.2115
7.141113 28.257 -140.9109
7.324219 30.862 -110.1707
7.507324 28.944 -67.2965
7.690430 30.540 -48.1483
7.873535 30.219 1.4644
8.056641 29.792 17.5506
8.239746 31.352 65.1736
8.422852 29.152 89.1482
8.605957 31.973 126.1939
8.789062 29.465 164.3859
8.972168 31.974 -172.9278
9.155273 30.778 -123.7732
9.338379 31.403 -109.4889
9.521484 32.249 -58.0944
9.704590 30.597 -40.4228
9.887695 33.292 3.4724
10.070801 30.443 35.0306
10.253906 33.707 63.6836
10.437012 31.616 110.2955
10.620117 33.466 125.2358
10.803223 33.418 178.9142
10.986328 32.729 -168.6108
11.169434 34.967 -118.2672
11.352539 32.185 -94.6994
11.535645 35.913 -58.1613
11.718750 33.030 -16.3870
11.901855 36.173 2.0609
12.084961 35.154 56.3630
12.268066 35.788 65.5889
12.451172 37.367 121.3982
12.634277 35.168 136.7963
12.817383 39.077 -177.8958
13.000488 35.675 -142.8612
13.183594 40.145 -118.2339
13.366699 38.264 -64.3419
13.549805 40.570 -56.3756
13.732910 41.670 4.6023
13.916016 40.556 12.8401
14.099121 44.970 67.4333
14.282227 41.488 97.2029
14.465332 48.197 128.7550
14.648438 46.630 -169.9065
14.831543 52.056 -166.7278
15.014648 58.222 -82.2889
15.197754 67.342 -107.5509
15.380859 68.885 -126.6696
15.563965 69.794 -126.4042
15.747070 70.881 -130.4651
15.930176 71.287 -131.0336
16.113281 72.005 -133.6356
16.296387 72.361 -136.7725
16.479492 72.943 -141.4722
16.662598 73.206 -147.2917
16.845703 73.543 -152.3307
17.028809 73.696 -157.1685
17.211914 73.910 -159.8968
17.395020 74.104 -162.5249
17.578125 74.310 -163.9107
17.761230 74.516 -165.9440
17.944336 74.664 -167.4526
18.127441 74.887 -169.6489
18.310547 75.113 -171.8783
18.493652 75.486 -174.9647
18.676758 75.832 -178.6087
18.859863 76.221 177.3088
19.042969 76.475 173.0630
19.226074 76.671 169.3658
19.409180 76.743 166.0528
19.592285 76.800 163.6471
19.775391 76.860 161.2198
19.958496 76.952 158.8137
20.141602 77.040 155.4627
20.324707 77.027 151.7575
20.507812 76.904 147.8285
20.690918 76.626 144.8516
20.874023 76.357 143.2501
21.057129 76.168 143.1006
21.240234 76.221 143.4788
