* Generated by rew_pipeline.py (source UUID c11b66be-534c-4ea4-ab08-38d8268a4119, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: LR.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Vector average of L.nofdw.120.green.multipos.fdw6, R.nofdw.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 36.670 0.0000
0.366211 39.752 86.6188
0.732422 44.792 77.4190
1.098633 43.739 -19.4763
1.464844 48.867 -85.6882
1.831055 43.864 -140.8446
2.197266 45.481 94.7201
2.563477 45.530 56.8919
2.929688 39.265 -101.1721
3.295898 49.401 -133.7424
3.662109 46.918 -137.1511
4.028320 38.397 -33.4748
4.394531 50.399 -3.5780
4.760742 53.220 -25.8166
5.126953 51.505 -61.8500
5.493164 44.275 -77.4262
5.859375 45.253 -18.3087
6.225586 45.069 -32.0985
6.591797 35.353 16.3594
6.958008 43.142 -2.1831
7.324219 48.225 -61.0443
7.690430 47.821 -80.0769
8.056641 46.205 -46.1399
8.422852 48.936 -37.2786
8.789062 48.762 -48.1270
9.155273 50.401 -47.6424
9.521484 54.892 -54.6005
9.887695 57.073 -75.2545
10.253906 55.732 -97.5192
10.620117 53.371 -92.4151
10.986328 57.875 -75.5052
11.352539 62.165 -79.8828
11.718750 64.241 -86.9741
12.084961 64.258 -97.4357
12.451172 62.333 -103.9762
12.817383 62.741 -97.6051
13.183594 66.085 -105.4717
13.549805 67.825 -118.0595
13.916016 68.263 -122.1109
14.282227 68.741 -124.2346
14.648438 68.613 -128.6424
15.014648 68.518 -127.8540
15.380859 69.602 -127.9680
15.747070 70.680 -133.1562
16.113281 71.668 -139.4658
16.479492 72.819 -148.7619
16.845703 73.584 -159.2942
17.211914 73.940 -166.2950
17.578125 74.269 -170.3931
17.944336 74.605 -174.4225
18.310547 75.098 -179.1620
18.676758 75.856 174.1741
19.042969 76.488 165.9884
19.409180 76.719 158.8955
19.775391 76.819 153.7840
20.141602 77.011 147.7631
20.507812 76.890 140.0178
20.874023 76.341 135.3984
21.240234 76.190 135.4989
21.606445 76.563 134.0529
21.972656 76.803 130.7481
22.338867 77.148 127.4700
