* Generated by rew_pipeline.py (source UUID 3cad11fd-e3fa-4108-9c9c-d820def9f39f, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000021 s))
* Measurement: R.filtered.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:47
* Note: ; Trace Arithmetic A times B A = R.nofdw.120.green.multipos.fdw6 B = FRX-trimmed.120.green.multipos.fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 -72.226 180.0000
0.183105 -61.932 175.3984
0.366211 -72.585 131.9464
0.549316 -61.748 132.3880
0.732422 -68.820 -30.7913
0.915527 -60.738 134.4502
1.098633 -61.118 -164.3262
1.281738 -59.721 -165.3219
1.464844 -63.518 77.0946
1.647949 -57.907 176.7174
1.831055 -57.487 107.6483
2.014160 -59.607 153.1820
2.197266 -66.393 24.8367
2.380371 -57.082 133.5907
2.563477 -61.423 132.0636
2.746582 -61.333 160.2660
2.929688 -61.360 -2.6624
3.112793 -65.811 -172.6027
3.295898 -67.754 -135.3917
3.479004 -57.601 -168.2239
3.662109 -62.608 61.1355
3.845215 -56.599 20.8795
4.028320 -61.611 -125.2705
4.211426 -58.389 166.9201
4.394531 -67.956 146.4703
4.577637 -69.191 -62.1855
4.760742 -65.729 98.5429
4.943848 -68.234 45.7018
5.126953 -59.603 27.1505
5.310059 -60.701 -165.2685
5.493164 -59.162 77.1121
5.676270 -66.185 90.9192
5.859375 -69.813 -133.1289
6.042480 -56.462 126.6559
6.225586 -64.094 113.6794
6.408691 -62.597 132.0668
6.591797 -62.129 12.8040
6.774902 -53.526 129.5956
6.958008 -66.131 154.1883
7.141113 -60.429 25.9572
7.324219 -64.076 68.7255
7.507324 -59.994 -164.3880
7.690430 -57.484 106.9131
7.873535 -65.977 22.4806
8.056641 -56.866 50.8971
8.239746 -60.325 99.1874
8.422852 -61.747 90.5671
8.605957 -58.842 100.9963
8.789062 -68.190 43.9870
8.972168 -68.544 128.8912
9.155273 -78.289 160.3376
9.338379 -65.973 138.6414
9.521484 -56.909 3.0350
9.704590 -75.602 -104.5397
9.887695 -61.414 150.6357
10.070801 -64.371 156.9127
10.253906 -61.441 73.4284
10.437012 -64.422 -128.2294
10.620117 -71.852 -29.7756
10.803223 -60.795 -76.5383
10.986328 -59.273 10.5207
11.169434 -58.696 104.5982
11.352539 -61.558 46.7116
11.535645 -56.194 109.4819
11.718750 -67.342 82.3783
11.901855 -58.314 -157.5142
12.084961 -67.330 71.9721
12.268066 -68.146 -16.3340
12.451172 -59.011 -9.6324
12.634277 -64.812 117.1782
12.817383 -67.972 74.2753
13.000488 -57.060 147.3391
13.183594 -59.839 7.3860
13.366699 -74.263 -93.5282
13.549805 -60.563 27.9913
13.732910 -63.146 134.2544
13.916016 -61.760 -6.6148
14.099121 -67.771 -29.0472
14.282227 -64.200 98.4226
14.465332 -65.801 116.6643
14.648438 -62.305 -162.9077
14.831543 -63.747 -160.4291
15.014648 -57.836 13.0860
15.197754 69.340 -125.6815
15.380859 70.007 -126.1952
15.563965 70.624 -127.9813
15.747070 71.126 -130.5187
15.930176 71.551 -133.4002
16.113281 71.968 -136.5844
16.296387 72.417 -140.2469
16.479492 72.878 -144.4402
16.662598 73.297 -148.8957
16.845703 73.638 -153.1235
17.028809 73.898 -156.6908
17.211914 74.115 -159.4907
17.395020 74.325 -161.8313
17.578125 74.530 -164.2172
17.761230 74.696 -166.9485
17.944336 74.799 -169.8929
18.127441 74.877 -172.6334
18.310547 75.028 -174.9026
18.493652 75.348 -176.9862
18.676758 75.831 -179.5995
18.859863 76.347 176.7734
19.042969 76.732 172.3266
19.226074 76.885 167.7979
19.409180 76.818 164.0678
19.592285 76.664 161.6626
19.775391 76.605 160.2378
19.958496 76.730 158.6224
20.141602 76.950 155.8270
20.324707 77.096 151.9235
20.507812 77.061 147.8878
20.690918 76.858 144.9201
20.874023 76.620 143.7155
21.057129 76.513 143.8773
21.240234 76.584 144.1417
21.423340 76.726 143.5435
21.606445 76.811 142.1126
21.789551 76.820 140.4507
21.972656 76.837 138.9679
22.155762 76.963 137.4829
22.338867 77.206 135.5045
22.521973 77.483 132.8654
22.705078 77.704 129.9384
22.888184 77.843 127.2985
23.071289 77.938 125.2522
23.254395 78.048 123.6047
23.437500 78.187 121.8572
23.620605 78.320 119.6683
23.803711 78.406 117.1138
23.986816 78.443 114.5576
24.169922 78.474 112.3437
24.353027 78.554 110.5545
24.536133 78.709 108.9973
24.719238 78.919 107.3915
24.902344 79.139 105.5332
25.085449 79.321 103.3289
25.268555 79.429 100.7850
25.451660 79.446 98.0217
25.634766 79.379 95.2804
25.817871 79.274 92.8508
26.000977 79.203 90.8939
26.184082 79.232 89.2749
26.367188 79.369 87.6322
26.550293 79.557 85.6978
26.733398 79.713 83.5411
26.916504 79.790 81.4966
27.099609 79.809 79.8730
27.282715 79.839 78.6585
27.465820 79.948 77.4245
27.648926 80.160 75.5488
27.832031 80.440 72.5838
28.015137 80.735 68.4325
28.198242 80.989 63.2713
