* Generated by rew_pipeline.py (source UUID a991554c-26c7-4668-8b42-31ccc9447062, calibrated to its own SPL at 100 Hz, phase referenced to REW t=0 (IR start -1.000015 s))
* Measurement: R.nofdw.120.green.multipos.fdw6
* Dated: 2026-Sep-15 11:27:46
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.000000 35.878 180.0000
0.366211 38.664 -149.2998
0.732422 36.106 -82.7223
1.098633 50.961 -95.3639
1.464844 53.689 -94.0751
1.831055 56.535 -24.5454
2.197266 52.046 82.1510
2.563477 56.747 -113.9046
2.929688 51.049 60.4603
3.295898 57.444 -80.0743
3.662109 54.101 -89.2980
4.028320 56.276 19.0965
4.394531 59.083 -16.4365
4.760742 45.881 -158.7440
5.126953 54.676 -60.9339
5.493164 22.027 -8.0033
5.859375 46.337 -79.7187
6.225586 56.164 -50.7787
6.591797 53.103 95.6443
6.958008 34.627 -74.3081
7.324219 44.058 -110.6219
7.690430 47.425 -173.7321
8.056641 49.149 18.4132
8.422852 42.795 -82.5825
8.789062 50.284 -32.3188
9.155273 44.604 45.3227
9.521484 49.710 -101.6760
9.887695 54.731 -73.0799
10.253906 49.717 -53.1046
10.620117 54.668 -63.2982
10.986328 62.403 -63.0580
11.352539 62.847 -57.3006
11.718750 67.978 -72.9888
12.084961 64.796 -88.0110
12.451172 59.169 -84.1835
12.817383 60.851 -92.7636
13.183594 65.086 -104.7623
13.549805 65.880 -107.0318
13.916016 66.204 -128.1698
14.282227 68.743 -126.3807
14.648438 68.226 -132.6228
15.014648 68.708 -134.3337
15.380859 70.637 -130.6174
15.747070 70.350 -135.6198
16.113281 72.270 -143.5653
16.479492 72.741 -152.0556
16.845703 73.602 -158.3608
17.211914 74.382 -167.3450
17.578125 74.192 -169.3573
17.944336 74.945 -177.0088
18.310547 74.710 176.4539
18.676758 76.152 172.8753
19.042969 76.786 166.7431
19.409180 76.368 155.9919
19.775391 76.832 151.1446
20.141602 77.036 148.5461
20.507812 76.885 140.9765
20.874023 76.669 134.2344
21.240234 76.537 136.7333
21.606445 76.885 133.3350
21.972656 76.658 131.1516
22.338867 77.269 125.7353
22.705078 77.729 121.5423
23.071289 77.923 117.0675
23.437500 78.059 111.9560
23.803711 78.481 108.6177
24.169922 78.331 101.9618
24.536133 78.966 99.7554
24.902344 78.957 97.3632
25.268555 79.326 89.1552
25.634766 79.553 85.9729
26.000977 79.095 80.9589
26.367188 79.332 77.2094
26.733398 79.733 73.6197
27.099609 79.756 68.0712
27.465820 80.061 69.2045
27.832031 80.163 59.4866
28.198242 81.175 52.9492
28.564453 81.235 41.1766
28.930664 80.466 26.3700
29.296875 80.049 19.9131
29.663086 78.441 9.5816
30.029297 77.776 8.2983
30.395508 76.403 1.2913
30.761719 75.830 -2.3572
31.127930 74.012 -0.6475
31.494141 72.649 -4.7175
31.860352 72.087 4.6636
32.226562 71.356 8.6466
32.592773 71.235 6.4147
32.958984 70.186 14.3308
33.325195 70.758 16.7343
33.691406 71.217 17.5724
34.057617 71.322 15.4952
34.423828 71.975 12.2118
34.790039 72.149 15.1201
35.156250 72.551 6.4699
35.522461 72.311 4.5440
35.888672 71.968 -0.6289
36.254883 71.461 -8.3387
36.621094 70.291 -14.3123
36.987305 68.859 -11.2340
37.353516 68.277 -7.3532
37.719727 66.880 -6.5103
38.085938 66.728 -2.5941
38.452148 67.716 -1.9600
38.818359 66.716 4.6845
39.184570 66.601 -4.6294
39.550781 66.803 2.0487
39.916992 65.475 4.9820
40.283203 65.945 10.1233
40.649414 66.287 9.9692
41.015625 65.179 10.1091
41.381836 66.150 17.1831
41.748047 66.824 14.9895
42.114258 67.130 30.7524
42.480469 66.236 25.0477
42.846680 67.273 29.5692
43.212891 67.974 23.4960
43.579102 69.667 36.6797
43.945312 70.559 24.6790
44.311523 70.829 8.6630
44.677734 70.711 3.1687
45.043945 73.358 2.5093
45.410156 74.909 -11.3014
45.776367 72.981 -13.9087
46.142578 76.540 -21.6354
46.508789 76.416 -35.8515
46.875000 77.291 -47.3118
